"station"	"season"	"duration_mean"	"num_rentals"	"id"	"lat"	"long"	"no_bikes"	"no_empty_docks"	"atm"	"bank"	"bar"	"bench"	"bicycle_parking"	"bicycle_rental"	"cafe"	"doctors"	"drinking_water"	"embassy"	"fast_food"	"fountain"	"fuel"	"kindergarten"	"nightclub"	"parking"	"parking_entrance"	"pharmacy"	"place_of_worship"	"police"	"post_box"	"post_office"	"pub"	"recycling"	"restaurant"	"school"	"theatre"	"waste_basket"	"artwork_type_statue"	"diplomatic_embassy"	"emergency_fire_hydrant"	"bus_stop"	"crossing"	"motorway_junction"	"stop"	"traffic_signals"	"turning_circle"	"historic_memorial"	"historic_monument"	"leisure_park"	"leisure_sports_centre"	"office_government"	"outdoor_seating"	"parking_underground"	"railway_level_crossing"	"railway_station"	"railway_subway_entrance"	"shop_alcohol"	"shop_art"	"shop_bakery"	"shop_beauty"	"shop_books"	"shop_clothes"	"shop_convenience"	"shop_dry_cleaning"	"shop_electronics"	"shop_gift"	"shop_hairdresser"	"shop_mobile_phone"	"shop_shoes"	"shop_stationery"	"shop_supermarket"	"station_subway"	"tourism_artwork"	"tourism_hotel"	"tourism_information"	"tourism_museum"
"10th & E St NW"	"Spring"	30.0324052943861	4382	"199"	38.895914	-77.026064	7	7	1	4	1	0	4	1	6	0	0	0	5	0	0	0	0	2	0	0	2	0	1	1	1	4	15	0	0	4	0	0	0	2	101	0	2	65	0	0	0	2	0	0	1	2	0	3	1	0	0	0	0	1	7	0	0	0	2	1	0	0	0	0	3	0	3	1	1
"10th & E St NW"	"Summer"	26.8333981337481	5144	"199"	38.895914	-77.026064	7	7	1	4	1	0	4	1	6	0	0	0	5	0	0	0	0	2	0	0	2	0	1	1	1	4	15	0	0	4	0	0	0	2	101	0	2	65	0	0	0	2	0	0	1	2	0	3	1	0	0	0	0	1	7	0	0	0	2	1	0	0	0	0	3	0	3	1	1
"10th & E St NW"	"Autumn"	19.9063173007897	2786	"199"	38.895914	-77.026064	7	7	1	4	1	0	4	1	6	0	0	0	5	0	0	0	0	2	0	0	2	0	1	1	1	4	15	0	0	4	0	0	0	2	101	0	2	65	0	0	0	2	0	0	1	2	0	3	1	0	0	0	0	1	7	0	0	0	2	1	0	0	0	0	3	0	3	1	1
"10th & E St NW"	"Winter"	18.2900466562986	1286	"199"	38.895914	-77.026064	7	7	1	4	1	0	4	1	6	0	0	0	5	0	0	0	0	2	0	0	2	0	1	1	1	4	15	0	0	4	0	0	0	2	101	0	2	65	0	0	0	2	0	0	1	2	0	3	1	0	0	0	0	1	7	0	0	0	2	1	0	0	0	0	3	0	3	1	1
"10th & K St NW"	"Winter"	21.3680781758958	307	"159"	38.9024	-77.02622	2	20	0	4	1	0	0	2	2	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	8	1	1	0	1	0	0	5	109	0	0	65	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
"10th & K St NW"	"Autumn"	14.5230181899843	4453	"159"	38.9024	-77.02622	2	20	0	4	1	0	0	2	2	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	8	1	1	0	1	0	0	5	109	0	0	65	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
"10th & K St NW"	"Summer"	16.6666017526777	5135	"159"	38.9024	-77.02622	2	20	0	4	1	0	0	2	2	0	0	0	3	0	0	0	0	1	0	0	1	0	0	0	0	0	8	1	1	0	1	0	0	5	109	0	0	65	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	0	0
"10th & Monroe St NE"	"Winter"	13.9952380952381	420	"93"	38.932514	-76.992889	3	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"10th & Monroe St NE"	"Autumn"	13.2005870841487	1022	"93"	38.932514	-76.992889	3	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"10th & Monroe St NE"	"Summer"	16.5986646884273	1348	"93"	38.932514	-76.992889	3	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"10th & Monroe St NE"	"Spring"	18.4866071428571	1120	"93"	38.932514	-76.992889	3	8	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"10th & U St NW"	"Summer"	12.2175438596491	4275	"43"	38.9172	-77.0259	5	10	0	1	6	0	0	2	1	0	1	0	1	0	0	0	3	0	0	1	2	0	2	0	3	0	20	5	0	0	0	0	0	1	9	0	1	18	0	0	1	0	0	0	1	0	0	2	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1
"10th & U St NW"	"Spring"	13.6301832208293	4148	"43"	38.9172	-77.0259	5	10	0	1	6	0	0	2	1	0	1	0	1	0	0	0	3	0	0	1	2	0	2	0	3	0	20	5	0	0	0	0	0	1	9	0	1	18	0	0	1	0	0	0	1	0	0	2	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1
"10th & U St NW"	"Winter"	10.6219119226638	1862	"43"	38.9172	-77.0259	5	10	0	1	6	0	0	2	1	0	1	0	1	0	0	0	3	0	0	1	2	0	2	0	3	0	20	5	0	0	0	0	0	1	9	0	1	18	0	0	1	0	0	0	1	0	0	2	1	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	0	1
